Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
ALB,3,Albania,2617,Apples and products,5142,Food,1000 tonnes,41.15,20.17,10,8,8,8,8,9,10,10,10,9
ALB,3,Albania,2618,Pineapples and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2619,Dates,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,41.15,20.17,35,39,14,32,34,43,37,45,41,45
ALB,3,Albania,2625,"Fruits, Other",5142,Food,1000 tonnes,41.15,20.17,49,37,33,33,30,42,33,38,42,38
ALB,3,Albania,2630,Coffee and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2633,Cocoa Beans and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2635,Tea (including mate),5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2640,Pepper,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2641,Pimento,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2645,"Spices, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2655,Wine,5142,Food,1000 tonnes,41.15,20.17,3,4,2,2,2,0,2,3,5,5
ALB,3,Albania,2656,Beer,5142,Food,1000 tonnes,41.15,20.17,9,10,11,11,11,11,11,12,13,12
ALB,3,Albania,2657,"Beverages, Fermented",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1,1,1,2,2,2
ALB,3,Albania,2731,Bovine Meat,5142,Food,1000 tonnes,41.15,20.17,7,7,8,6,7,7,8,7,9,10
ALB,3,Albania,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,41.15,20.17,13,13,13,13,13,13,16,14,12,12
ALB,3,Albania,2733,Pigmeat,5142,Food,1000 tonnes,41.15,20.17,4,4,3,3,4,4,5,6,6,6
ALB,3,Albania,2734,Poultry Meat,5142,Food,1000 tonnes,41.15,20.17,2,2,2,2,2,3,3,3,3,3
ALB,3,Albania,2735,"Meat, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2736,"Offals, Edible",5142,Food,1000 tonnes,41.15,20.17,5,5,5,5,5,5,6,5,5,5
ALB,3,Albania,2740,"Butter, Ghee",5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1,1,1,1,1,2
ALB,3,Albania,2743,Cream,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,41.15,20.17,7,7,6,6,7,9,8,9,9,10
ALB,3,Albania,2781,"Fish, Body Oil",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2744,Eggs,5142,Food,1000 tonnes,41.15,20.17,3,3,3,3,3,3,3,3,3,3
ALB,3,Albania,2848,Milk - Excluding Butter,5521,Feed,1000 tonnes,41.15,20.17,3,3,4,4,4,4,4,4,4,4
ALB,3,Albania,2848,Milk - Excluding Butter,5142,Food,1000 tonnes,41.15,20.17,163,166,171,177,182,188,195,195,201,213
ALB,3,Albania,2761,Freshwater Fish,5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1,1,2,2,2,3
ALB,3,Albania,2762,Demersal Fish,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2763,Pelagic Fish,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2763,Pelagic Fish,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
